HP:0002205	HP:0011947
HP:0002206	HP:0002088
HP:0002207	HP:0002113
HP:0002208	HP:0010719
HP:0002212	HP:0010719
HP:0002213	HP:0010719
HP:0002220	HP:0009887
HP:0002224	HP:0010719
HP:0002235	HP:0003328
HP:0002239	HP:0011029
HP:0002239	HP:0012719
HP:0002240	HP:0001392
HP:0002240	HP:0003271
HP:0002242	HP:0012718
HP:0002244	HP:0002242
HP:0002250	HP:0002242
HP:0002254	HP:0002014
HP:0002265	HP:0000400
HP:0002267	HP:0002071
HP:0002268	HP:0001332
HP:0002269	HP:0002011
HP:0002270	HP:0410008
HP:0002271	HP:0012332
HP:0002275	HP:0011443
HP:0002282	HP:0002269
HP:0002297	HP:0009887
HP:0002298	HP:0011362
HP:0002299	HP:0010719
HP:0002300	HP:0000708
HP:0002300	HP:0002167
HP:0002304	HP:0002374
HP:0002305	HP:0004305
HP:0002310	HP:0100660
HP:0002311	HP:0011443
HP:0002315	HP:0012638
HP:0002317	HP:0001288
HP:0002321	HP:0001751
HP:0002329	HP:0004372
HP:0002331	HP:0002315
HP:0002342	HP:0001249
HP:0002349	HP:0007359
HP:0002353	HP:0030178
HP:0002354	HP:0100543
HP:0002355	HP:0001288
HP:0002355	HP:0004302
HP:0002357	HP:0002167
HP:0002360	HP:0000708
HP:0002362	HP:0001288
HP:0002363	HP:0012443
HP:0002366	HP:0000759
HP:0002366	HP:0002450
HP:0002367	HP:0000738
HP:0002371	HP:0002167
HP:0002373	HP:0001250
HP:0002374	HP:0100022
HP:0002375	HP:0002374
HP:0002376	HP:0012759
HP:0002380	HP:0004305
HP:0002381	HP:0002167
HP:0002383	HP:0011450
HP:0002384	HP:0007359
HP:0002384	HP:0011146
HP:0002390	HP:0002143
HP:0002390	HP:0100026
HP:0002396	HP:0002063
HP:0002411	HP:0100022
HP:0002415	HP:0011400
HP:0002418	HP:0012443
HP:0002421	HP:0001324
HP:0002423	HP:0002143
HP:0002425	HP:0002167
HP:0002442	HP:0001328
HP:0002446	HP:0100705
HP:0002448	HP:0001298
HP:0002450	HP:0012757
HP:0002451	HP:0001332
HP:0002457	HP:0100022
HP:0002459	HP:0012332
HP:0002460	HP:0001324
HP:0002463	HP:0011446
HP:0002465	HP:0002167
HP:0002476	HP:0100022
HP:0002480	HP:0001298
HP:0002483	HP:0012638
HP:0002486	HP:0011804
HP:0002487	HP:0100022
HP:0002488	HP:0001909
HP:0002492	HP:0002062
HP:0002493	HP:0011442
HP:0002494	HP:0002360
HP:0002511	HP:0002011
HP:0002515	HP:0001288
HP:0002516	HP:0012640
HP:0002519	HP:0000738
HP:0002522	HP:0001284
HP:0002522	HP:0002814
HP:0002524	HP:0012638
HP:0002526	HP:0002167
HP:0002527	HP:0001288
HP:0002529	HP:0007367
HP:0002530	HP:0001332
HP:0002533	HP:0100022
HP:0002540	HP:0001288
HP:0002546	HP:0002167
HP:0002552	HP:0001595
HP:0002557	HP:0006709
HP:0002558	HP:0004404
HP:0002561	HP:0006709
HP:0002562	HP:0004404
HP:0002566	HP:0002242
HP:0002574	HP:0002027
HP:0002576	HP:0002242
HP:0002577	HP:0012718
HP:0002578	HP:0002577
HP:0002578	HP:0003011
HP:0002579	HP:0030895
HP:0002580	HP:0002242
HP:0002585	HP:0002012
HP:0002589	HP:0012718
HP:0002593	HP:0002242
HP:0002597	HP:0001626
HP:0002600	HP:0001265
HP:0002600	HP:0002814
HP:0002605	HP:0001392
HP:0002607	HP:0012700
HP:0002612	HP:0001395
HP:0002614	HP:0002605
HP:0002615	HP:0011025
HP:0002617	HP:0025015
HP:0002619	HP:0005293
HP:0002621	HP:0002634
HP:0002623	HP:0001679
HP:0002624	HP:0002597
HP:0002625	HP:0004936
HP:0002629	HP:0004296
HP:0002629	HP:0100026
HP:0002632	HP:0002615
HP:0002633	HP:0025015
HP:0002634	HP:0011004
HP:0002636	HP:0002617
HP:0002636	HP:0011004
HP:0002638	HP:0004418
HP:0002639	HP:0002624
HP:0002640	HP:0000822
HP:0002641	HP:0001977
HP:0002643	HP:0002093
HP:0002644	HP:0011844
HP:0002647	HP:0001679
HP:0002651	HP:0002652
HP:0002652	HP:0011842
HP:0002653	HP:0011843
HP:0002653	HP:0012531
HP:0002654	HP:0002652
HP:0002655	HP:0002652
HP:0002657	HP:0002652
HP:0002659	HP:0011843
HP:0002664	HP:0000118
HP:0002665	HP:0004377
HP:0002669	HP:0010622
HP:0002669	HP:0100242
HP:0002671	HP:0008069
HP:0002672	HP:0006749
HP:0002679	HP:0000929
HP:0002683	HP:0000929
HP:0002686	HP:0001197
HP:0002693	HP:0000929
HP:0002699	HP:0000929
HP:0002703	HP:0000929
HP:0002715	HP:0000118
