GO:0002088	GO:0002089
GO:0009653	GO:0002089
GO:0044767	GO:0002089
GO:0090596	GO:0002089
GO:0000904	GO:0002093
GO:0002064	GO:0002093
GO:0007399	GO:0002093
GO:0008544	GO:0002093
GO:0030154	GO:0002093
GO:0042472	GO:0002093
GO:0048598	GO:0002093
GO:0048666	GO:0002093
GO:0060113	GO:0002093
GO:0060429	GO:0002093
GO:0051705	GO:0002118
GO:0002118	GO:0002121
GO:0002118	GO:0002124
GO:0002118	GO:0002125
GO:0043436	GO:0002148
GO:0072593	GO:0002148
GO:0002148	GO:0002149
GO:0044283	GO:0002149
GO:1903409	GO:0002149
GO:0009755	GO:0002154
GO:0030522	GO:0002154
GO:0070661	GO:0002158
GO:0007275	GO:0002164
GO:0009791	GO:0002164
GO:0007275	GO:0002165
GO:0009791	GO:0002165
GO:0036093	GO:0002176
GO:0006413	GO:0002183
GO:0006518	GO:0002183
GO:0010467	GO:0002183
GO:0034645	GO:0002183
GO:0043603	GO:0002183
GO:0044267	GO:0002183
GO:0044271	GO:0002183
GO:1901566	GO:0002183
GO:0016477	GO:0002194
GO:0002376	GO:0002200
GO:0002520	GO:0002200
GO:0002565	GO:0002206
GO:0006259	GO:0002206
GO:0016445	GO:0002206
GO:0002381	GO:0002208
GO:0016445	GO:0002208
GO:0006952	GO:0002209
GO:0007610	GO:0002209
GO:0098542	GO:0002213
GO:0098542	GO:0002215
GO:0002253	GO:0002218
GO:0002684	GO:0002218
GO:0048584	GO:0002218
GO:0050776	GO:0002218
GO:0080134	GO:0002218
GO:0002385	GO:0002227
GO:0045087	GO:0002227
GO:0002449	GO:0002228
GO:0045087	GO:0002228
GO:0002239	GO:0002229
GO:0098542	GO:0002229
GO:0002523	GO:0002232
GO:0006954	GO:0002232
GO:0030595	GO:0002232
GO:0002522	GO:0002233
GO:0006955	GO:0002233
GO:0030595	GO:0002233
GO:0009593	GO:0002236
GO:0051788	GO:0002236
GO:0009617	GO:0002237
GO:0010033	GO:0002237
GO:0043207	GO:0002237
GO:0009620	GO:0002238
GO:0010033	GO:0002238
GO:0043207	GO:0002238
GO:0051707	GO:0002239
GO:0002239	GO:0002240
GO:0010033	GO:0002240
GO:0043207	GO:0002240
GO:0006955	GO:0002250
GO:0006955	GO:0002251
GO:0002376	GO:0002252
GO:0002376	GO:0002253
GO:0002684	GO:0002253
GO:0048584	GO:0002253
GO:0050776	GO:0002253
GO:0006954	GO:0002254
GO:0072376	GO:0002254
GO:0002254	GO:0002255
GO:0001776	GO:0002260
GO:0002376	GO:0002262
GO:0048872	GO:0002262
GO:0001775	GO:0002263
GO:0002252	GO:0002263
GO:0006955	GO:0002263
GO:0002263	GO:0002264
GO:0006955	GO:0002264
GO:0042118	GO:0002264
GO:0001775	GO:0002266
GO:0006954	GO:0002269
GO:0045321	GO:0002269
GO:0045321	GO:0002270
GO:0045321	GO:0002274
GO:0002274	GO:0002275
GO:0002366	GO:0002275
GO:0002275	GO:0002276
GO:0006955	GO:0002276
GO:0036230	GO:0002276
GO:0001773	GO:0002277
GO:0002275	GO:0002277
GO:0006955	GO:0002277
GO:0002275	GO:0002278
GO:0006955	GO:0002278
GO:0036230	GO:0002278
GO:0002275	GO:0002279
GO:0006955	GO:0002279
GO:0045576	GO:0002279
GO:0002275	GO:0002281
GO:0006955	GO:0002281
GO:0042116	GO:0002281
GO:0002281	GO:0002282
GO:0006955	GO:0002282
GO:0042116	GO:0002282
GO:0002275	GO:0002283
GO:0006955	GO:0002283
GO:0036230	GO:0002283
GO:0002366	GO:0002285
GO:0006955	GO:0002285
GO:0046649	GO:0002285
GO:0002285	GO:0002286
GO:0006955	GO:0002286
GO:0042110	GO:0002286
GO:0002286	GO:0002287
GO:0006955	GO:0002287
GO:0042110	GO:0002287
GO:0002286	GO:0002291
GO:0002286	GO:0002292
GO:0006955	GO:0002292
GO:0030098	GO:0002292
GO:0042110	GO:0002292
GO:0002287	GO:0002293
GO:0002292	GO:0002293
GO:0006955	GO:0002293
GO:0030098	GO:0002293
GO:0042110	GO:0002293
GO:0002293	GO:0002294
GO:0006955	GO:0002294
GO:0030098	GO:0002294
GO:0042110	GO:0002294
GO:0002293	GO:0002302
GO:0006955	GO:0002302
GO:0030098	GO:0002302
GO:0042110	GO:0002302
GO:0002286	GO:0002309
GO:0006955	GO:0002309
GO:0042110	GO:0002309
GO:0046651	GO:0002309
GO:0002285	GO:0002312
GO:0006955	GO:0002312
GO:0042113	GO:0002312
GO:0002312	GO:0002313
GO:0006955	GO:0002313
GO:0030098	GO:0002313
GO:0042113	GO:0002313
GO:0002313	GO:0002314
GO:0002313	GO:0002315
GO:0002313	GO:0002316
GO:0002313	GO:0002317
GO:0002312	GO:0002322
GO:0006955	GO:0002322
GO:0042113	GO:0002322
GO:0046651	GO:0002322
GO:0002285	GO:0002323
GO:0006955	GO:0002323
GO:0030101	GO:0002323
GO:0002376	GO:0002339
GO:0030098	GO:0002339
GO:0042113	GO:0002339
GO:0002339	GO:0002343
GO:0002343	GO:0002344
GO:0002381	GO:0002344
GO:0009607	GO:0002347
GO:0002532	GO:0002349
GO:0002532	GO:0002351
GO:0002339	GO:0002352
GO:0002254	GO:0002353
GO:0002347	GO:0002355
GO:0009595	GO:0002355
GO:0002347	GO:0002357
GO:0006952	GO:0002357
GO:0042113	GO:0002358
GO:0042592	GO:0002358
GO:0046651	GO:0002358
GO:0002263	GO:0002366
GO:0006955	GO:0002366
GO:0045321	GO:0002366
GO:0001816	GO:0002367
GO:0002440	GO:0002367
GO:0006955	GO:0002367
GO:0002367	GO:0002368
GO:0002449	GO:0002368
GO:0002460	GO:0002368
GO:0002367	GO:0002369
GO:0002449	GO:0002369
GO:0002460	GO:0002369
GO:0002367	GO:0002371
GO:0002443	GO:0002371
GO:0002367	GO:0002374
GO:0006955	GO:0002374
GO:0050663	GO:0002374
GO:0008150	GO:0002376
GO:0002440	GO:0002377
GO:0002377	GO:0002378
GO:0009059	GO:0002378
GO:0002377	GO:0002381
GO:0002449	GO:0002381
GO:0002460	GO:0002381
GO:0002251	GO:0002384
GO:0002251	GO:0002385
GO:0002376	GO:0002404
GO:0002385	GO:0002404
GO:0002404	GO:0002406
GO:0030595	GO:0002407
GO:0036336	GO:0002407
GO:0002407	GO:0002408
GO:0097529	GO:0002408
GO:0002406	GO:0002412
GO:0045056	GO:0002412
GO:0002347	GO:0002418
GO:0006955	GO:0002418
GO:0002475	GO:0002428
GO:0048002	GO:0002428
GO:0002757	GO:0002429
GO:0002768	GO:0002429
GO:0002252	GO:0002432
GO:0006954	GO:0002432
GO:0002252	GO:0002433
GO:0002768	GO:0002433
GO:0006909	GO:0002433
GO:0002252	GO:0002434
GO:0006954	GO:0002437
GO:0006955	GO:0002437
GO:0002437	GO:0002438
GO:0006954	GO:0002438
GO:0002437	GO:0002439
GO:0006954	GO:0002439
GO:0002376	GO:0002440
GO:0002252	GO:0002443
GO:0002443	GO:0002444
GO:0002443	GO:0002449
GO:0002449	GO:0002455
GO:0002460	GO:0002455
GO:0006959	GO:0002455
GO:0002449	GO:0002457
GO:0002460	GO:0002457
GO:0019882	GO:0002457
GO:0002449	GO:0002458
GO:0002460	GO:0002458
GO:0002465	GO:0002458
GO:0002517	GO:0002458
GO:0002250	GO:0002460
GO:0002460	GO:0002461
GO:0002507	GO:0002461
GO:0002461	GO:0002462
GO:0002461	GO:0002465
GO:0002460	GO:0002467
GO:0048646	GO:0002467
GO:0019882	GO:0002468
GO:0048002	GO:0002474
GO:0019882	GO:0002475
GO:0019884	GO:0002478
GO:0048002	GO:0002478
GO:0019883	GO:0002483
GO:0048002	GO:0002483
GO:0002504	GO:0002495
GO:0048002	GO:0002495
GO:0006461	GO:0002501
GO:0048002	GO:0002501
GO:0065003	GO:0002501
GO:0019882	GO:0002504
GO:0002504	GO:0002505
GO:0002376	GO:0002507
GO:0002520	GO:0002507
GO:0002507	GO:0002508
GO:0002508	GO:0002509
GO:0002513	GO:0002509
GO:0002507	GO:0002513
GO:0002507	GO:0002517
GO:0002507	GO:0002519
GO:0002376	GO:0002520
GO:0048731	GO:0002520
GO:0002252	GO:0002522
GO:0006955	GO:0002522
GO:0050900	GO:0002522
GO:0006954	GO:0002523
GO:0050900	GO:0002523
GO:0006954	GO:0002528
GO:0043114	GO:0002528
GO:0006954	GO:0002532
GO:0044707	GO:0002532
GO:0001816	GO:0002534
GO:0002532	GO:0002534
GO:0006954	GO:0002534
GO:0002532	GO:0002536
GO:0002679	GO:0002536
GO:0006954	GO:0002536
GO:0002532	GO:0002537
GO:0002532	GO:0002538
GO:0030595	GO:0002548
GO:0071674	GO:0002548
GO:0097529	GO:0002548
GO:0030595	GO:0002551
GO:0097531	GO:0002551
GO:0002276	GO:0002561
GO:0002444	GO:0002561
GO:0043299	GO:0002561
GO:0002200	GO:0002562
GO:0006259	GO:0002562
GO:0002200	GO:0002565
GO:0006259	GO:0002565
GO:0002200	GO:0002566
GO:0002200	GO:0002568
GO:0030098	GO:0002568
GO:0042110	GO:0002568
GO:0002682	GO:0002577
GO:0002682	GO:0002643
GO:2000026	GO:0002643
GO:0002252	GO:0002679
GO:0006952	GO:0002679
GO:0045730	GO:0002679
GO:0002562	GO:0002681
GO:0002568	GO:0002681
GO:0050789	GO:0002682
GO:0002682	GO:0002683
GO:0048519	GO:0002683
GO:0002682	GO:0002684
GO:0048518	GO:0002684
GO:0002682	GO:0002685
GO:2000145	GO:0002685
GO:0002682	GO:0002694
GO:0050865	GO:0002694
GO:0002682	GO:0002697
GO:0002758	GO:0002753
GO:0030522	GO:0002753
GO:0035556	GO:0002753
GO:0002253	GO:0002757
GO:0002764	GO:0002757
GO:0002218	GO:0002758
GO:0002757	GO:0002758
GO:0002831	GO:0002759
GO:0032101	GO:0002759
GO:0043900	GO:0002759
GO:0050776	GO:0002759
GO:0007165	GO:0002764
GO:0050776	GO:0002764
GO:0002764	GO:0002765
GO:0002764	GO:0002768
GO:0007166	GO:0002768
GO:0002440	GO:0002775
GO:0061844	GO:0002775
GO:0002775	GO:0002776
GO:0046903	GO:0002776
GO:0071702	GO:0002776
GO:0071705	GO:0002776
GO:0002775	GO:0002777
GO:0006518	GO:0002777
GO:0043603	GO:0002777
GO:0044271	GO:0002777
GO:1901566	GO:0002777
GO:0002775	GO:0002778
GO:0019731	GO:0002778
GO:0002775	GO:0002781
GO:0019732	GO:0002781
GO:0048583	GO:0002831
GO:0002682	GO:0002905
GO:0010941	GO:0002905
GO:0032844	GO:0002905
GO:0009058	GO:0002927
GO:0010467	GO:0002927
GO:0016070	GO:0002927
GO:0043412	GO:0002927
GO:0001654	GO:0002930
GO:0009888	GO:0002930
GO:0006950	GO:0002931
GO:0007389	GO:0003002
GO:0000003	GO:0003006
GO:0022414	GO:0003006
GO:0032502	GO:0003006
GO:0007507	GO:0003007
GO:0009887	GO:0003007
GO:0032501	GO:0003008
GO:0003008	GO:0003012
