child	parent
GO:0015853	GO:0006863
GO:0015854	GO:0006863
GO:0015855	GO:0015851
GO:0015856	GO:0015855
GO:0015857	GO:0015855
GO:0015858	GO:0015931
GO:0015858	GO:1901264
GO:0015859	GO:0015858
GO:0015859	GO:1902582
GO:0015860	GO:0072530
GO:0015860	GO:1901642
GO:0015861	GO:0015864
GO:0015862	GO:0015864
GO:0015863	GO:0015858
GO:0015864	GO:0015858
GO:0015865	GO:0006862
GO:0015866	GO:0015711
GO:0015866	GO:0015868
GO:0015866	GO:0051503
GO:0015867	GO:0015711
GO:0015867	GO:0015868
GO:0015867	GO:0051503
GO:0015868	GO:0015865
GO:0015868	GO:1901264
GO:0015869	GO:0006886
GO:0015869	GO:0051027
GO:0015870	GO:0015696
GO:0015870	GO:1901374
GO:0015871	GO:0015696
GO:0015872	GO:0015696
GO:0015872	GO:0051937
GO:0015874	GO:0051937
GO:0015876	GO:0015916
GO:0015876	GO:0051182
GO:0015877	GO:0051181
GO:0015877	GO:0071702
GO:0015877	GO:0071705
GO:0015878	GO:0015718
GO:0015878	GO:0042886
GO:0015878	GO:0051180
GO:0015878	GO:0051181
GO:0015878	GO:0072348
GO:0015879	GO:0015838
GO:0015880	GO:0015711
GO:0015880	GO:0015868
GO:0015880	GO:0051182
GO:0015880	GO:0051503
GO:0015881	GO:0006865
GO:0015881	GO:0072337
GO:0015882	GO:0015749
GO:0015882	GO:0046942
GO:0015882	GO:0051180
GO:0015883	GO:0006862
GO:0015883	GO:0015711
GO:0015883	GO:0051182
GO:0015884	GO:0006835
GO:0015884	GO:0042886
GO:0015884	GO:0051180
GO:0015884	GO:0051181
GO:0015884	GO:0072337
GO:0015885	GO:0006835
GO:0015885	GO:0042886
GO:0015885	GO:0051181
GO:0015885	GO:0072337
GO:0015886	GO:0051181
GO:0015886	GO:0071702
GO:0015886	GO:0071705
GO:0015886	GO:1901678
GO:0015887	GO:0015718
GO:0015887	GO:0035461
GO:0015887	GO:0042886
GO:0015887	GO:0051182
GO:0015887	GO:0072337
GO:0015887	GO:1905039
GO:0015888	GO:0045117
GO:0015888	GO:0051180
GO:0015888	GO:0072348
GO:0015889	GO:0051180
GO:0015889	GO:0071702
GO:0015889	GO:0071705
GO:0015890	GO:0006862
GO:0015890	GO:0051181
GO:0015890	GO:1901264
GO:0015891	GO:0015688
GO:0015893	GO:0044765
GO:0015894	GO:0006821
GO:0015894	GO:0015695
GO:0015894	GO:0015893
GO:0015894	GO:0042908
GO:0015895	GO:0044765
GO:0015895	GO:0071702
GO:0015896	GO:0015718
GO:0015896	GO:0042891
GO:0015896	GO:0042908
GO:0015896	GO:0071705
GO:0015897	GO:0015893
GO:0015897	GO:0071702
GO:0015898	GO:0015695
GO:0015898	GO:0015893
GO:0015898	GO:0042886
GO:0015899	GO:0045117
GO:0015900	GO:0015893
GO:0015900	GO:0042886
GO:0015900	GO:0042908
GO:0015900	GO:0071702
GO:0015901	GO:0015850
GO:0015901	GO:0042886
GO:0015901	GO:0042891
GO:0015902	GO:0015893
GO:0015902	GO:0071702
GO:0015902	GO:0071705
GO:0015903	GO:0015850
GO:0015903	GO:0045117
GO:0015904	GO:0015711
GO:0015904	GO:0042891
GO:0015905	GO:0042891
GO:0015905	GO:0071702
GO:0015905	GO:0071705
GO:0015906	GO:0042886
GO:0015906	GO:0045117
GO:0015906	GO:0072348
GO:0015908	GO:0006869
GO:0015908	GO:0015718
GO:0015909	GO:0015908
GO:0015910	GO:0015909
GO:0015911	GO:0015909
GO:0015911	GO:1902001
GO:0015912	GO:0015908
GO:0015913	GO:0015912
GO:0015914	GO:0006869
GO:0015914	GO:0015711
GO:0015914	GO:0015748
GO:0015915	GO:0044765
GO:0015916	GO:0015711
GO:0015916	GO:1901337
GO:0015917	GO:0015914
GO:0015917	GO:0071705
GO:0015918	GO:0006869
GO:0015918	GO:0015850
GO:0015919	GO:0043574
GO:0015920	GO:0006869
GO:0015920	GO:1901264
GO:0015921	GO:0015920
GO:0015931	GO:0071702
GO:0015931	GO:0071705
GO:0015985	GO:1902600
GO:0015986	GO:0015985
GO:0015987	GO:0015985
GO:0015988	GO:1902600
GO:0015989	GO:0015988
GO:0015990	GO:0015988
GO:0015991	GO:0015988
GO:0015991	GO:0099132
GO:0015992	GO:0006818
GO:0015992	GO:0015672
GO:0015993	GO:0006818
GO:0016031	GO:0035927
GO:0016031	GO:0051031
GO:0016079	GO:0007269
GO:0016079	GO:0017156
GO:0016079	GO:0048489
GO:0016079	GO:0099504
GO:0016079	GO:0099643
GO:0016080	GO:0006903
GO:0016080	GO:0016079
GO:0016081	GO:0006904
GO:0016081	GO:0016079
GO:0016082	GO:0016079
GO:0016182	GO:0036466
GO:0016182	GO:0046907
GO:0016182	GO:0070142
GO:0016182	GO:0099003
GO:0016182	GO:0099532
GO:0016183	GO:0006901
GO:0016183	GO:0016185
GO:0016185	GO:0048488
GO:0016185	GO:0070142
GO:0016189	GO:0099532
GO:0016191	GO:0048488
GO:0016191	GO:0072318
GO:0016192	GO:0006810
GO:0016197	GO:0006810
GO:0016256	GO:0006622
GO:0016482	GO:0046907
GO:0016558	GO:0006625
GO:0016558	GO:0044743
GO:0016560	GO:0016558
GO:0016561	GO:0016558
GO:0016561	GO:0065002
GO:0016562	GO:0016558
GO:0016973	GO:0006406
GO:0017038	GO:0015031
GO:0017038	GO:0044765
GO:0017156	GO:0045055
GO:0019060	GO:0030581
GO:0019060	GO:0075733
GO:0019065	GO:0006898
GO:0019065	GO:0075509
GO:0019090	GO:0006839
GO:0019090	GO:0051029
GO:0019090	GO:1902582
GO:0019091	GO:0019090
GO:0019092	GO:0019090
GO:0019271	GO:0006842
